Sl. No,States/UTs,FY2016-17,FY2017-18,FY2018-19
1,Andhra Pradesh,13.77,14.26,13.41
2,Arunachal Pradesh,53.64,58.36,NA
3,Assam,20.1,17.64,18.2
4,Bihar,41.57,33.05,27.39
5,Chhattisgarh,20.99,18.08,23.28
6,Dadra and Nagar Haveli,NA,NA,7.95
7,Daman and Diu,NA,NA,9.37
8,Delhi,10.79,9.7,NA
9,Goa,24.33,13.52,10.46
10,Gujarat,14.18,12.96,12.59
11,Haryana,26.42,21.78,17.45
12,Himachal Pradesh,11.48,11.08,8
13,Jammu & Kashmir,59.97,53.67,49.76
14,Jharkhand,35.95,32.48,31.95
15,Karnataka,16.82,15.61,14.1
16,Kerala,16.37,15.89,10.83
17,Madhya Pradesh,25.72,29.61,31.9
18,Maharashtra,22.73,18.97,16.94
19,Manipur,34,23.39,22.55
20,Meghalaya,38.81,39.77,32.59
21,Mizoram,24.98,22.44,68.35
22,Nagaland,38.5,41.36,NA
23,Odisha,36.33,31.8,NA
24,Puducherry,21.34,19.77,16.41
25,Punjab,14.46,17.31,12.04
26,Rajasthan,27.33,24.05,21.29
27,Sikkim,46.52,32.48,33.04
28,Tamil Nadu,18.23,18.53,14.02
29,Telangana,15.19,19.91,11.77
30,Tripura,29.2,31.34,15.24
31,Uttar Pradesh,41.5,38.29,24.64
32,Uttarakhand,16.68,15.79,12.64
33,West Bengal,27.92,26.74,NA
Average,National,23.56,22.31,18.19
